375.646,199.865,760,428
133198519710911559,590.042,589.735,-0.719018,0.136151,-0.681526,-4.3122,0.0487116,0.988085,0.146002,0.142979,0.693284,0.0717802,-0.717083,1.87863,0,0,0,1
133198519712244348,590.042,589.735,-0.71755,0.13477,-0.683346,-4.30987,0.0470489,0.988241,0.145497,0.142642,0.694918,0.0722513,-0.715453,1.87824,0,0,0,1
133198519713577137,590.042,589.735,-0.716973,0.132975,-0.684302,-4.30895,0.0475709,0.988684,0.142281,0.14343,0.695478,0.0694592,-0.715185,1.8808,0,0,0,1
133198519714576728,590.042,589.735,-0.717132,0.130312,-0.684648,-4.30861,0.042904,0.988757,0.143255,0.143561,0.695617,0.0733589,-0.71466,1.88542,0,0,0,1
133198519714909926,590.042,589.735,-0.717731,0.1289,-0.684288,-4.30955,0.0415379,0.988894,0.142711,0.144033,0.695083,0.0740049,-0.715113,1.88812,0,0,0,1
133198519715243123,590.042,589.735,-0.717889,0.128917,-0.684118,-4.30939,0.040541,0.988779,0.143786,0.144021,0.694978,0.0754875,-0.715061,1.89001,0,0,0,1
133198519716575913,590.042,589.735,-0.717069,0.128835,-0.684993,-4.30735,0.0390159,0.988648,0.145105,0.14377,0.695911,0.077325,-0.713956,1.89761,0,0,0,1
133198519716909110,590.042,589.735,-0.717471,0.128217,-0.684688,-4.30684,0.0389223,0.988759,0.144373,0.143775,0.695502,0.0769337,-0.714396,1.89962,0,0,0,1
133198519717242306,590.042,589.735,-0.718284,0.127474,-0.683975,-4.30638,0.0379793,0.988792,0.144399,0.143772,0.694715,0.0777429,-0.715074,1.90174,0,0,0,1
133198519718908293,590.042,589.735,-0.729049,0.115851,-0.674588,-4.30356,0.034765,0.990568,0.132545,0.1458,0.68358,0.0731802,-0.7262,1.91244,0,0,0,1
133198519719574688,590.042,589.735,-0.731422,0.111208,-0.672798,-4.30113,0.0345165,0.991387,0.126344,0.146767,0.681053,0.0691887,-0.728961,1.91599,0,0,0,1
