133198519342374449,0.0793029,0.77234,-0.630239,-3.86706,-0.975098,-0.0712526,-0.210014,0.798421,-0.207109,0.6312,0.747457,-1.31081,0,0,0,1
133198519342706963,0.079575,0.772906,-0.629511,-3.86741,-0.974903,-0.0713809,-0.210876,0.798327,-0.207922,0.630492,0.747829,-1.30968,0,0,0,1
133198519343056626,0.0799597,0.773319,-0.628954,-3.86768,-0.974601,-0.0717626,-0.212136,0.798051,-0.209185,0.629942,0.74794,-1.30854,0,0,0,1
133198519343363511,0.080618,0.773666,-0.628443,-3.86791,-0.974286,-0.071923,-0.213527,0.797947,-0.210398,0.629498,0.747974,-1.30748,0,0,0,1
133198519343700332,0.0811251,0.774119,-0.627821,-3.86802,-0.974027,-0.0720247,-0.214669,0.79793,-0.211398,0.62893,0.74817,-1.30634,0,0,0,1
133198519344031318,0.0811994,0.774698,-0.627096,-3.86797,-0.973955,-0.0719663,-0.215018,0.797948,-0.211703,0.628223,0.748677,-1.30523,0,0,0,1
133198519344357501,0.081278,0.775435,-0.626174,-3.86771,-0.973849,-0.0719473,-0.215504,0.797971,-0.212161,0.627315,0.749309,-1.30419,0,0,0,1
133198519347982923,0.0690359,0.772497,-0.631254,-3.86257,-0.975364,-0.0806295,-0.205339,0.800284,-0.209522,0.629879,0.747899,-1.29686,0,0,0,1
133198519349633301,0.0675603,0.769145,-0.635494,-3.86304,-0.977303,-0.0771649,-0.197292,0.801188,-0.200784,0.634399,0.746474,-1.29643,0,0,0,1
133198519351614795,0.0644252,0.763267,-0.642863,-3.86543,-0.978938,-0.0767205,-0.189195,0.801969,-0.193727,0.641512,0.742248,-1.29036,0,0,0,1
133198519351945499,0.0665036,0.761907,-0.644264,-3.86617,-0.978935,-0.075097,-0.18986,0.801958,-0.193037,0.643319,0.740863,-1.28902,0,0,0,1
133198519352276380,0.0689771,0.760645,-0.645493,-3.86685,-0.979014,-0.0727623,-0.19036,0.801969,-0.191764,0.645077,0.739663,-1.28778,0,0,0,1
133198519352606054,0.0705668,0.759354,-0.64684,-3.86747,-0.979175,-0.0710163,-0.190192,0.802031,-0.190359,0.646791,0.738529,-1.28661,0,0,0,1
133198519352939946,0.07054,0.758155,-0.648247,-3.86796,-0.979589,-0.0699784,-0.188438,0.802182,-0.188229,0.648308,0.737744,-1.28547,0,0,0,1
133198519353270468,0.0716562,0.757541,-0.648843,-3.8682,-0.979711,-0.0686144,-0.188305,0.802523,-0.187169,0.649172,0.737254,-1.28441,0,0,0,1
133198519353596400,0.0736305,0.757621,-0.648528,-3.86813,-0.979513,-0.0672797,-0.189806,0.802531,-0.187434,0.649217,0.737147,-1.28361,0,0,0,1
133198519353930207,0.0753235,0.75807,-0.647808,-3.86783,-0.979204,-0.066498,-0.191673,0.802466,-0.188379,0.648774,0.737296,-1.28306,0,0,0,1
133198519354258420,0.0760968,0.759126,-0.64648,-3.86737,-0.978986,-0.0661426,-0.192903,0.802366,-0.189198,0.647574,0.738141,-1.28283,0,0,0,1
133198519354585688,0.0763143,0.760623,-0.644693,-3.86682,-0.978808,-0.0660801,-0.193827,0.80227,-0.190031,0.645822,0.739461,-1.28288,0,0,0,1
